financials.Product,financials.Discount Band,financials.Country,Sum(financials.Gross Sales),Sum(financials.COGS),Sum(financials. Sales),
Paseo,High,United States of America,2310862.5,1770074.5,2002018.145,"2002018.145,5980766.960000001,7982785.105"
Paseo,High,Canada,3123072,2345779,2741974.6700000004,"2741974.6700000004,3238792.29,5980766.960000001"
Paseo,High,France,1722081,1301064.5,1506131.11,"1506131.11,7982785.105,9488916.215"
Paseo,High,Germany,1116926,868389,973880.32,"973880.32,9488916.215,10462796.535"
Paseo,High,Mexico,3736307,2876448,3238792.29,"3238792.29,0,3238792.29"
Paseo,Low,United States of America,3299621.5,2602952,3199430.3549999995,"3199430.3549999995,0,3199430.3549999995"
Paseo,Low,Canada,2512492,2073650,2456023.2700000005,"2456023.2700000005,5693126.145,8149149.415"
Paseo,Low,France,2552822,2090533,2493695.79,"2493695.79,3199430.3549999995,5693126.145"
Paseo,Low,Germany,1809022,1572693,1756117.28,"1756117.28,8149149.415,9905266.695"
Paseo,Low,Mexico,799503,739662,781759.99,"781759.99,9905266.695,10687026.685"
Paseo,Medium,United States of America,1836810,1542245,1723932.27,"1723932.27,3312908.1100000003,5036840.380000001"
Paseo,Medium,Canada,1828622,1428410,1705097.05,"1705097.05,5036840.380000001,6741937.430000001"
Paseo,Medium,France,1701629,1361915,1589689.1600000001,"1589689.1600000001,8355700.57,9945389.73"
Paseo,Medium,Germany,1743836,1388275,1613763.1400000001,"1613763.1400000001,6741937.430000001,8355700.57"
Paseo,Medium,Mexico,3602125,2847095,3312908.1100000003,"3312908.1100000003,0,3312908.1100000003"
Paseo,None,United States of America,18945,8451,18945,"18945,1888751,1907696"
Paseo,None,Canada,708426,498664,708426,"708426,886054,1594480"
Paseo,None,France,8235,5490,8235,"8235,1907696,1915931"
Paseo,None,Germany,886054,656041,886054,"886054,0,886054"
Paseo,None,Mexico,294271,235875,294271,"294271,1594480,1888751"
Velo,High,United States of America,3082688,2589142,2683116.5,"2683116.5,0,2683116.5"
Velo,High,Canada,1259816,994370,1102786.24,"1102786.24,4109508.41,5212294.65"
Velo,High,France,729207.5,561185,647413.725,"647413.725,5928018.33,6575432.055"
Velo,High,Germany,829860,672700,715723.68,"715723.68,5212294.65,5928018.33"
Velo,High,Mexico,1633118,1312532,1426391.9100000001,"1426391.9100000001,2683116.5,4109508.41"
Velo,Low,United States of America,146495,106975,143747.85,"143747.85,3714560.13,3858307.98"
Velo,Low,Canada,511074,427265,497812.96,"497812.96,2928065.77,3425878.73"
Velo,Low,France,856363,611020,824814.27,"824814.27,2103251.5,2928065.77"
Velo,Low,Germany,2146175,1616260,2103251.5,"2103251.5,0,2103251.5"
Velo,Low,Mexico,294547,267902,288681.4,"288681.4,3425878.73,3714560.13"
Velo,Medium,United States of America,1191863,998790,1119338.65,"1119338.65,5143494.2,6262832.85"
Velo,Medium,Canada,1846372,1495887,1685766.1400000001,"1685766.1400000001,2280368.24,3966134.3800000004"
Velo,Medium,France,2433364,1881481,2280368.24,"2280368.24,0,2280368.24"
Velo,Medium,Germany,1265296,1042480,1177359.8199999998,"1177359.8199999998,3966134.3800000004,5143494.2"
Velo,Medium,Mexico,572257,489535,525213.58,"525213.58,6262832.85,6788046.43"
Velo,None,United States of America,352625,338520,352625,"352625,396572,749197"
Velo,None,Canada,43125,41400,43125,"43125,974697,1017822"
Velo,None,France,225500,216480,225500,"225500,749197,974697"
Velo,None,Germany,396572,272678,396572,"396572,0,396572"
Velo,None,Mexico,10451,7465,10451,"10451,1017822,1028273"
VTT,High,United States of America,3455995,2775523,3052297.72,"3052297.72,0,3052297.72"
VTT,High,Canada,1755593,1511132,1527431.04,"1527431.04,3052297.72,4579728.76"
VTT,High,France,576077.5,409062,498663.57999999996,"498663.57999999996,5277314.21,5775977.79"
VTT,High,Germany,781085,585820,697585.45,"697585.45,4579728.76,5277314.21"
VTT,High,Mexico,308131,251670,275198.76,"275198.76,5775977.79,6051176.55"
VTT,Low,United States of America,1159325,958140,1126072.25,"1126072.25,4786514.17,5912586.42"
VTT,Low,Canada,1242832,1047920,1215748.43,"1215748.43,3570765.74,4786514.17"
VTT,Low,France,1088717,872338,1054659.57,"1054659.57,5912586.42,6967245.99"
VTT,Low,Germany,1623964,1264622,1591909.4,"1591909.4,1978856.34,3570765.74"
VTT,Low,Mexico,2019302,1518368,1978856.34,"1978856.34,0,1978856.34"
VTT,Medium,United States of America,1407572,1084033,1287222.67,"1287222.67,1388934.8399999999,2676157.51"
VTT,Medium,Canada,1491448,1202473.5,1388934.8399999999,"1388934.8399999999,0,1388934.8399999999"
VTT,Medium,France,1125549,856872.5,1045450.4400000001,"1045450.4400000001,2676157.51,3721607.9499999997"
VTT,Medium,Germany,1047366,820215,957112.92,"957112.92,3721607.9499999997,4678720.87"
VTT,Medium,Mexico,989141,826760,918341.61,"918341.61,4678720.87,5597062.48"
VTT,None,Canada,636640,518420,636640,"636640,1212420,1849060"
VTT,None,France,1212420,956550,1212420,"1212420,0,1212420"
VTT,None,Germany,47376,17394,47376,"47376,1849060,1896436"
