Opportunities.Decision Maker Identified,Opportunities.DaysToClose,Opportunities.Campaign Name,Opportunities.Budget,Opportunities.Discount,Opportunities.Opportunity Owner Name,CountNonNull(Opportunities.Status),
false,60,(Blank),4000,0.063,Alicia Thomber,1,"1,8,9"
false,60,(Blank),4625,0.062,Renee Lo,1,"1,9,10"
false,60,(Blank),4750,0.063,Julian Isla,1,"1,10,11"
false,60,(Blank),1750,0.063,Spencer Low,1,"1,11,12"
false,60,(Blank),3000,0.063,Spencer Low,1,"1,12,13"
false,60,(Blank),3000,0.063,Julian Isla,1,"1,13,14"
false,60,(Blank),1875,0.065,Renee Lo,1,"1,14,15"
false,60,(Blank),2125,0.063,Spencer Low,1,"1,15,16"
false,60,(Blank),5625,0.063,Alicia Thomber,1,"1,16,17"
false,60,(Blank),5625,0.062,Anne Weiler,1,"1,17,18"
false,60,(Blank),5250,0.062,Renee Lo,1,"1,18,19"
false,60,(Blank),5375,0.063,Alicia Thomber,1,"1,19,20"
false,60,(Blank),5375,0.063,Spencer Low,1,"1,20,21"
false,60,(Blank),5375,0.063,Julian Isla,2,"2,0,2"
false,60,(Blank),5750,0.063,Alicia Thomber,1,"1,21,22"
false,60,(Blank),5000,0.062,Renee Lo,1,"1,22,23"
false,60,(Blank),5125,0.065,Renee Lo,1,"1,23,24"
false,62,(Blank),3250,0.063,Molly Clark,1,"1,0,1"
false,62,(Blank),3125,0.063,Molly Clark,1,"1,1,2"
false,62,(Blank),3375,0.063,Alicia Thomber,1,"1,2,3"
false,62,(Blank),4125,0.062,Renee Lo,1,"1,3,4"
false,62,(Blank),4875,0.063,Spencer Low,1,"1,4,5"
false,62,(Blank),1250,0.063,Molly Clark,1,"1,5,6"
false,62,(Blank),2500,0.063,Molly Clark,1,"1,6,7"
false,62,(Blank),1875,0.063,Alicia Thomber,1,"1,7,8"
false,62,(Blank),6125,0.065,Molly Clark,1,"1,8,9"
false,64,(Blank),3250,0.038,Molly Clark,1,"1,0,1"
false,64,(Blank),4875,0.063,Eric Gruber,1,"1,1,2"
false,64,(Blank),1500,0.065,Alan Steiner,1,"1,2,3"
false,64,(Blank),1750,0.062,Greg Winston,1,"1,3,4"
false,64,(Blank),3000,0.038,Molly Clark,1,"1,4,5"
false,64,(Blank),2875,0.038,Molly Clark,1,"1,5,6"
false,64,(Blank),2875,0.063,Eric Gruber,1,"1,6,7"
false,64,(Blank),1875,0.062,Greg Winston,1,"1,7,8"
false,64,(Blank),2250,0.062,Greg Winston,1,"1,8,9"
false,64,(Blank),5125,0.063,David So,1,"1,9,10"
false,64,(Blank),5500,0.063,Eric Gruber,1,"1,10,11"
false,66,(Blank),3250,0.033,Molly Clark,2,"2,0,2"
false,66,(Blank),3250,0.038,Alicia Thomber,1,"1,24,25"
false,66,(Blank),3500,0.033,Molly Clark,2,"2,2,4"
false,66,(Blank),3500,0.063,David So,1,"1,25,26"
false,66,(Blank),3500,0.063,Julian Isla,1,"1,26,27"
false,66,(Blank),3125,0.033,Molly Clark,1,"1,27,28"
false,66,(Blank),3125,0.035,Molly Clark,1,"1,28,29"
false,66,(Blank),3125,0.038,Alicia Thomber,1,"1,29,30"
false,66,(Blank),3375,0.038,Alicia Thomber,1,"1,30,31"
false,66,(Blank),3375,0.063,Eric Gruber,1,"1,31,32"
false,66,(Blank),3375,0.063,Spencer Low,1,"1,32,33"
false,66,(Blank),3375,0.063,Julian Isla,1,"1,33,34"
false,66,(Blank),3375,0.065,Anne Weiler,1,"1,34,35"
false,66,(Blank),3625,0.033,Molly Clark,1,"1,35,36"
false,66,(Blank),3625,0.038,Molly Clark,1,"1,36,37"
false,66,(Blank),3625,0.063,Julian Isla,1,"1,37,38"
false,66,(Blank),3625,0.065,Alan Steiner,1,"1,38,39"
false,66,(Blank),3875,0.065,Anne Weiler,2,"2,4,6"
false,66,(Blank),4250,0.063,Julian Isla,1,"1,39,40"
false,66,(Blank),3750,0.033,Molly Clark,1,"1,40,41"
false,66,(Blank),3750,0.035,Molly Clark,1,"1,41,42"
false,66,(Blank),3750,0.063,David So,1,"1,42,43"
false,66,(Blank),3750,0.063,Spencer Low,1,"1,43,44"
false,66,(Blank),3750,0.063,Julian Isla,1,"1,44,45"
false,66,(Blank),3750,0.065,Anne Weiler,1,"1,45,46"
false,66,(Blank),4500,0.035,Molly Clark,1,"1,46,47"
false,66,(Blank),4500,0.062,Anne Weiler,1,"1,47,48"
false,66,(Blank),4500,0.065,Anne Weiler,1,"1,48,49"
false,66,(Blank),4625,0.063,Molly Clark,2,"2,6,8"
false,66,(Blank),4625,0.063,Julian Isla,1,"1,49,50"
false,66,(Blank),4750,0.033,Molly Clark,1,"1,50,51"
false,66,(Blank),4750,0.062,Sanjay Shah,1,"1,51,52"
false,66,(Blank),4875,0.033,Molly Clark,1,"1,52,53"
false,66,(Blank),4875,0.038,Alicia Thomber,1,"1,53,54"
false,66,(Blank),4875,0.063,Julian Isla,1,"1,54,55"
false,66,(Blank),4875,0.065,Anne Weiler,1,"1,55,56"
false,66,(Blank),4375,0.033,Molly Clark,2,"2,8,10"
false,66,(Blank),4375,0.063,Molly Clark,1,"1,56,57"
false,66,(Blank),4375,0.062,Greg Winston,1,"1,57,58"
false,66,(Blank),1500,0.063,Molly Clark,1,"1,58,59"
false,66,(Blank),1500,0.063,Julian Isla,1,"1,59,60"
false,66,(Blank),1500,0.062,Greg Winston,1,"1,60,61"
false,66,(Blank),1625,0.063,Molly Clark,1,"1,61,62"
false,66,(Blank),1625,0.063,David So,1,
false,66,(Blank),1625,0.063,Anne Weiler,1,
false,66,(Blank),1625,0.065,Anne Weiler,2,"2,10,12"
false,66,(Blank),3000,0.063,Jeff Hay,1,
false,66,(Blank),2500,0.063,Eric Gruber,1,
false,66,(Blank),2500,0.063,Alicia Thomber,1,
false,66,(Blank),2750,0.065,Anne Weiler,2,"2,12,14"
false,66,(Blank),2875,0.038,Alicia Thomber,1,
false,66,(Blank),2875,0.065,Anne Weiler,1,
false,66,(Blank),1000,0.033,Molly Clark,1,
false,66,(Blank),1125,0.033,Molly Clark,1,
false,66,(Blank),2625,0.062,Greg Winston,1,
false,66,(Blank),750,0.033,Molly Clark,1,
false,66,(Blank),750,0.035,Molly Clark,1,
false,66,(Blank),375,0.033,Molly Clark,1,
false,66,(Blank),500,0.033,Molly Clark,2,"2,14,16"
false,66,(Blank),2125,0.063,Molly Clark,2,"2,16,18"
false,66,(Blank),2250,0.063,Jeff Hay,1,
false,66,(Blank),6125,0.038,Julian Isla,2,"2,18,20"
false,66,(Blank),6125,0.063,Alicia Thomber,2,"2,20,22"
false,66,(Blank),5625,0.038,Spencer Low,1,
false,66,(Blank),5625,0.065,Alan Steiner,1,
false,66,(Blank),5250,0.038,Alicia Thomber,1,
false,66,(Blank),5250,0.063,Spencer Low,1,
false,66,(Blank),5750,0.063,Molly Clark,1,
false,66,(Blank),5750,0.063,David So,2,"2,22,24"
false,66,(Blank),5750,0.065,Anne Weiler,1,
false,66,(Blank),6000,0.063,Alicia Thomber,1,
false,66,(Blank),5000,0.063,Alicia Thomber,1,
false,66,(Blank),5000,0.065,Anne Weiler,1,
false,66,(Blank),5125,0.038,Julian Isla,1,
false,66,(Blank),5125,0.063,David So,1,
false,66,(Blank),5125,0.063,Alicia Thomber,1,
false,66,(Blank),5125,0.063,Spencer Low,1,
false,66,(Blank),5875,0.063,David So,1,
false,66,Monthly Newsletter,4750,0.038,Molly Clark,1,
false,68,(Blank),3250,0.063,Molly Clark,1,"1,8,9"
false,68,(Blank),3625,0.063,Spencer Low,1,"1,9,10"
false,68,(Blank),3875,0.063,David So,1,"1,10,11"
false,68,(Blank),3875,0.063,Jeff Hay,1,"1,11,12"
false,68,(Blank),4000,0.061,Anne Weiler,1,"1,12,13"
false,68,(Blank),4500,0.063,Alicia Thomber,1,"1,13,14"
false,68,(Blank),4625,0.063,Alicia Thomber,1,"1,14,15"
false,68,(Blank),4750,0.063,David So,2,"2,0,2"
false,68,(Blank),4750,0.063,Alicia Thomber,1,"1,15,16"
false,68,(Blank),4875,0.063,Alicia Thomber,1,"1,16,17"
false,68,(Blank),1375,0.063,David So,1,"1,17,18"
false,68,(Blank),1375,0.063,Alicia Thomber,2,"2,2,4"
false,68,(Blank),1625,0.063,Spencer Low,1,"1,18,19"
false,68,(Blank),1750,0.063,David So,1,"1,19,20"
false,68,(Blank),1750,0.063,Alicia Thomber,1,"1,20,21"
false,68,(Blank),3000,0.063,Alicia Thomber,1,"1,21,22"
false,68,(Blank),2750,0.063,David So,1,"1,22,23"
false,68,(Blank),2625,0.063,Julian Isla,1,"1,23,24"
false,68,(Blank),1875,0.063,Alicia Thomber,1,"1,24,25"
false,68,(Blank),2250,0.063,Molly Clark,1,"1,25,26"
false,68,(Blank),2250,0.063,Alicia Thomber,1,"1,26,27"
false,68,(Blank),6125,0.063,David So,1,"1,27,28"
false,68,(Blank),6125,0.061,Anne Weiler,1,"1,28,29"
false,68,(Blank),5625,0.063,Alicia Thomber,2,"2,4,6"
false,68,(Blank),5625,0.063,Jeff Hay,1,"1,29,30"
false,68,(Blank),5250,0.063,David So,1,"1,30,31"
false,68,(Blank),5250,0.063,Julian Isla,2,"2,6,8"
false,68,(Blank),5375,0.063,Spencer Low,1,"1,31,32"
false,68,(Blank),5000,0.062,Anne Weiler,1,"1,32,33"
false,68,(Blank),5875,0.063,David So,1,"1,33,34"
false,70,(Blank),3250,0.033,Spencer Low,1,"1,31,32"
false,70,(Blank),3250,0.033,Julian Isla,1,"1,32,33"
false,70,(Blank),3250,0.062,Greg Winston,1,"1,33,34"
false,70,(Blank),3250,0.062,Sanjay Shah,1,"1,34,35"
false,70,(Blank),3500,0.033,Molly Clark,1,"1,35,36"
false,70,(Blank),3500,0.033,Spencer Low,1,"1,36,37"
false,70,(Blank),3500,0.033,Julian Isla,2,"2,7,9"
false,70,(Blank),3500,0.065,Alan Steiner,1,"1,37,38"
false,70,(Blank),3125,0.033,Alicia Thomber,2,"2,9,11"
false,70,(Blank),3125,0.033,Julian Isla,1,"1,38,39"
false,70,(Blank),3125,0.038,Alicia Thomber,1,"1,39,40"
false,70,(Blank),3375,0.033,Molly Clark,2,"2,11,13"
false,70,(Blank),3375,0.033,Julian Isla,1,"1,40,41"
false,70,(Blank),3375,0.038,Molly Clark,1,"1,41,42"
false,70,(Blank),3375,0.063,Alan Steiner,1,"1,42,43"
false,70,(Blank),3625,0.033,Molly Clark,1,"1,43,44"
false,70,(Blank),3625,0.033,Alicia Thomber,1,"1,44,45"
false,70,(Blank),3625,0.033,Julian Isla,1,"1,45,46"
false,70,(Blank),4125,0.033,Molly Clark,1,"1,46,47"
false,70,(Blank),4125,0.033,Spencer Low,2,"2,13,15"
false,70,(Blank),4125,0.033,Julian Isla,1,"1,47,48"
false,70,(Blank),3875,0.033,Molly Clark,2,"2,15,17"
false,70,(Blank),3875,0.033,Alicia Thomber,1,"1,48,49"
false,70,(Blank),3875,0.033,Julian Isla,1,"1,49,50"
false,70,(Blank),4250,0.033,Molly Clark,3,"3,4,7"
false,70,(Blank),4250,0.033,Alicia Thomber,4,"4,0,4"
false,70,(Blank),4250,0.033,Julian Isla,1,"1,50,51"
false,70,(Blank),3750,0.062,Greg Winston,1,"1,51,52"
false,70,(Blank),4000,0.033,Molly Clark,1,"1,52,53"
false,70,(Blank),4000,0.033,Julian Isla,1,"1,53,54"
false,70,(Blank),4500,0.033,Molly Clark,1,"1,54,55"
false,70,(Blank),4500,0.033,Alicia Thomber,2,"2,17,19"
false,70,(Blank),4500,0.033,Spencer Low,1,"1,55,56"
false,70,(Blank),4625,0.033,Alicia Thomber,1,"1,56,57"
false,70,(Blank),4750,0.033,Molly Clark,1,"1,57,58"
false,70,(Blank),4875,0.033,Molly Clark,1,"1,58,59"
false,70,(Blank),4375,0.033,Molly Clark,2,"2,19,21"
false,70,(Blank),4375,0.033,Julian Isla,1,"1,59,60"
false,70,(Blank),1500,0.063,Eric Gruber,1,"1,60,61"
false,70,(Blank),1500,0.062,Greg Winston,1,"1,61,62"
false,70,(Blank),1500,0.061,Sanjay Shah,1,"1,62,63"
false,70,(Blank),2500,0.033,Alicia Thomber,1,"1,63,64"
false,70,(Blank),2500,0.033,Spencer Low,1,"1,64,65"
false,70,(Blank),2500,0.038,Alicia Thomber,1,"1,65,66"
false,70,(Blank),2750,0.033,Molly Clark,1,"1,66,67"
false,70,(Blank),2750,0.065,Alan Steiner,1,
false,70,(Blank),2875,0.033,Spencer Low,1,
false,70,(Blank),2875,0.038,Alicia Thomber,1,
false,70,(Blank),1000,0.033,Alicia Thomber,1,
false,70,(Blank),1000,0.038,Spencer Low,1,
false,70,(Blank),1125,0.038,Molly Clark,1,
false,70,(Blank),2625,0.038,Alicia Thomber,1,
false,70,(Blank),2625,0.038,Spencer Low,1,
false,70,(Blank),875,0.033,Molly Clark,1,
false,70,(Blank),875,0.033,Alicia Thomber,2,"2,21,23"
false,70,(Blank),875,0.033,Julian Isla,1,
false,70,(Blank),750,0.033,Julian Isla,2,"2,23,25"
false,70,(Blank),250,0.033,Alicia Thomber,2,"2,25,27"
false,70,(Blank),250,0.033,Spencer Low,2,"2,27,29"
false,70,(Blank),250,0.033,Julian Isla,2,"2,29,31"
false,70,(Blank),500,0.033,Molly Clark,1,
false,70,(Blank),125,0.033,Spencer Low,1,
false,70,(Blank),2375,0.062,Greg Winston,1,
false,70,(Blank),2125,0.062,Greg Winston,1,
false,70,(Blank),2125,0.065,Alan Steiner,1,
false,70,(Blank),2250,0.038,Molly Clark,1,
false,70,(Blank),6125,0.062,Greg Winston,1,
false,70,(Blank),5625,0.033,Molly Clark,1,
false,70,(Blank),5625,0.033,Alicia Thomber,1,
false,70,(Blank),5625,0.038,Molly Clark,1,
false,70,(Blank),5750,0.033,Molly Clark,1,
false,70,(Blank),6000,0.033,Julian Isla,1,
false,70,(Blank),5125,0.033,Alicia Thomber,1,
false,70,(Blank),5875,0.033,Julian Isla,1,
false,70,Monthly Newsletter,4500,0.038,Molly Clark,1,
false,70,Monthly Newsletter,4500,0.038,Alicia Thomber,1,
false,70,Monthly Newsletter,4750,0.038,Molly Clark,1,
false,70,Monthly Newsletter,4750,0.038,Julian Isla,1,
false,71,(Blank),1250,0.061,Sanjay Shah,1,"1,0,1"
false,71,(Blank),5375,0.062,Sanjay Shah,1,"1,1,2"
false,72,(Blank),3250,0.033,Molly Clark,1,"1,62,63"
false,72,(Blank),3250,0.033,Alicia Thomber,2,"2,4,6"
false,72,(Blank),3250,0.033,Spencer Low,1,"1,63,64"
false,72,(Blank),3250,0.038,Alicia Thomber,1,"1,64,65"
false,72,(Blank),3250,0.037,Renee Lo,1,"1,65,66"
false,72,(Blank),3500,0.033,Molly Clark,2,"2,6,8"
false,72,(Blank),3125,0.033,Molly Clark,2,"2,8,10"
false,72,(Blank),3125,0.033,Alicia Thomber,1,"1,66,67"
false,72,(Blank),3125,0.033,Julian Isla,1,"1,67,68"
false,72,(Blank),3125,0.038,Molly Clark,2,"2,10,12"
false,72,(Blank),3125,0.063,Molly Clark,1,"1,68,69"
false,72,(Blank),3125,0.063,Alicia Thomber,1,"1,69,70"
false,72,(Blank),3125,0.04,Anne Weiler,1,"1,70,71"
false,72,(Blank),3125,0.065,Alan Steiner,1,"1,71,72"
false,72,(Blank),3125,0.065,Anne Weiler,1,"1,72,73"
false,72,(Blank),3375,0.033,Spencer Low,2,"2,12,14"
false,72,(Blank),3375,0.035,Molly Clark,1,"1,73,74"
false,72,(Blank),3375,0.038,Molly Clark,2,"2,14,16"
false,72,(Blank),3375,0.065,Alan Steiner,1,"1,74,75"
false,72,(Blank),3625,0.038,Molly Clark,1,"1,75,76"
false,72,(Blank),3625,0.063,Molly Clark,1,"1,76,77"
false,72,(Blank),3625,0.063,Alan Steiner,1,"1,77,78"
false,72,(Blank),3625,0.062,Renee Lo,1,"1,78,79"
false,72,(Blank),4125,0.035,Molly Clark,1,"1,79,80"
false,72,(Blank),3875,0.033,Molly Clark,1,"1,80,81"
false,72,(Blank),3875,0.063,Molly Clark,1,"1,81,82"
false,72,(Blank),3875,0.063,Alicia Thomber,1,
false,72,(Blank),4250,0.033,Molly Clark,1,
false,72,(Blank),4250,0.033,Alicia Thomber,2,"2,16,18"
false,72,(Blank),4250,0.065,Alan Steiner,1,
false,72,(Blank),3750,0.033,Alicia Thomber,2,"2,18,20"
false,72,(Blank),3750,0.063,Molly Clark,1,
false,72,(Blank),4000,0.033,Alicia Thomber,2,"2,20,22"
false,72,(Blank),4000,0.038,Molly Clark,1,
false,72,(Blank),4000,0.063,Eric Gruber,1,
false,72,(Blank),4500,0.033,Molly Clark,2,"2,22,24"
false,72,(Blank),4500,0.033,Alicia Thomber,1,
false,72,(Blank),4500,0.033,Spencer Low,1,
false,72,(Blank),4500,0.033,Julian Isla,2,"2,24,26"
false,72,(Blank),4500,0.063,Alicia Thomber,1,
false,72,(Blank),4500,0.063,Alan Steiner,1,
false,72,(Blank),4500,0.062,Greg Winston,1,
false,72,(Blank),4625,0.033,Molly Clark,1,
false,72,(Blank),4625,0.063,Molly Clark,1,
false,72,(Blank),4750,0.033,Spencer Low,1,
false,72,(Blank),4750,0.038,Molly Clark,1,
false,72,(Blank),4750,0.063,Molly Clark,1,
false,72,(Blank),4750,0.063,Alicia Thomber,2,"2,26,28"
false,72,(Blank),4875,0.033,Spencer Low,1,
false,72,(Blank),4875,0.033,Julian Isla,1,
false,72,(Blank),4875,0.035,Molly Clark,1,
false,72,(Blank),4875,0.063,Molly Clark,4,"4,0,4"
false,72,(Blank),4875,0.063,Eric Gruber,1,
false,72,(Blank),4375,0.033,Molly Clark,2,"2,28,30"
false,72,(Blank),4375,0.033,Alicia Thomber,1,
false,72,(Blank),4375,0.063,Alicia Thomber,1,
false,72,(Blank),1500,0.038,Molly Clark,1,
false,72,(Blank),1500,0.063,David So,1,
false,72,(Blank),1500,0.062,Greg Winston,2,"2,30,32"
false,72,(Blank),1500,0.065,Alan Steiner,1,
false,72,(Blank),1500,0.023,Molly Clark,1,
false,72,(Blank),1250,0.038,Molly Clark,1,
false,72,(Blank),1250,0.063,Molly Clark,2,"2,32,34"
false,72,(Blank),1250,0.04,Anne Weiler,1,
false,72,(Blank),1250,0.023,Molly Clark,1,
false,72,(Blank),1375,0.038,Molly Clark,1,
false,72,(Blank),1375,0.062,Greg Winston,1,
false,72,(Blank),1625,0.063,Eric Gruber,1,
false,72,(Blank),1750,0.038,Molly Clark,1,
false,72,(Blank),1750,0.063,Molly Clark,1,
false,72,(Blank),1750,0.063,David So,1,
false,72,(Blank),1750,0.025,Molly Clark,1,
false,72,(Blank),3000,0.063,Molly Clark,1,
false,72,(Blank),3000,0.063,Eric Gruber,1,
false,72,(Blank),2500,0.033,Molly Clark,1,
false,72,(Blank),2500,0.038,Molly Clark,1,
false,72,(Blank),2500,0.063,Molly Clark,1,
false,72,(Blank),2500,0.062,Renee Lo,1,
false,72,(Blank),2750,0.033,Molly Clark,1,
false,72,(Blank),2750,0.038,Molly Clark,2,"2,34,36"
false,72,(Blank),2750,0.063,Molly Clark,1,
false,72,(Blank),2750,0.062,Greg Winston,2,"2,36,38"
false,72,(Blank),2750,0.062,Renee Lo,1,
false,72,(Blank),2750,0.065,Alan Steiner,2,"2,38,40"
false,72,(Blank),2875,0.038,Molly Clark,1,
false,72,(Blank),2875,0.038,David So,1,
false,72,(Blank),2875,0.063,David So,1,
false,72,(Blank),2875,0.063,Eric Gruber,1,
false,72,(Blank),1000,0.033,Spencer Low,1,
false,72,(Blank),1000,0.038,David So,2,"2,40,42"
false,72,(Blank),625,0.033,Molly Clark,1,
false,72,(Blank),625,0.033,Spencer Low,1,
false,72,(Blank),625,0.035,Molly Clark,1,
false,72,(Blank),2625,0.033,Spencer Low,1,
false,72,(Blank),2625,0.038,Molly Clark,2,"2,42,44"
false,72,(Blank),2625,0.038,David So,1,
false,72,(Blank),2625,0.063,Molly Clark,2,"2,44,46"
false,72,(Blank),2625,0.065,Anne Weiler,2,"2,46,48"
false,72,(Blank),750,0.033,Alicia Thomber,1,
false,72,(Blank),250,0.033,Spencer Low,1,
false,72,(Blank),375,0.033,Alicia Thomber,1,
false,72,(Blank),500,0.033,Alicia Thomber,1,
false,72,(Blank),1875,0.063,Molly Clark,1,
false,72,(Blank),2375,0.038,Molly Clark,1,
false,72,(Blank),2375,0.062,Greg Winston,1,
false,72,(Blank),2125,0.063,Molly Clark,2,"2,48,50"
false,72,(Blank),2125,0.063,Eric Gruber,1,
false,72,(Blank),2250,0.063,Alicia Thomber,1,
false,72,(Blank),2250,0.062,Greg Winston,1,
false,72,(Blank),2250,0.065,Alan Steiner,1,
false,72,(Blank),2250,0.065,Anne Weiler,1,
false,72,(Blank),6125,0.063,Molly Clark,2,"2,50,52"
false,72,(Blank),6125,0.063,Alan Steiner,1,
false,72,(Blank),6125,0.04,Molly Clark,1,
false,72,(Blank),2000,0.063,Molly Clark,1,
false,72,(Blank),2000,0.063,David So,1,
false,72,(Blank),2000,0.063,Alan Steiner,1,
false,72,(Blank),2000,0.065,Alan Steiner,1,
false,72,(Blank),5625,0.033,Molly Clark,1,
false,72,(Blank),5625,0.063,Molly Clark,1,
false,72,(Blank),5625,0.063,Eric Gruber,2,"2,52,54"
false,72,(Blank),5625,0.063,Alan Steiner,1,
false,72,(Blank),5625,0.062,Greg Winston,1,
false,72,(Blank),5625,0.062,Renee Lo,1,
false,72,(Blank),5375,0.063,David So,1,
false,72,(Blank),5375,0.062,Anne Weiler,1,
false,72,(Blank),5375,0.062,Greg Winston,1,
false,72,(Blank),5750,0.033,Molly Clark,1,
false,72,(Blank),5750,0.063,Molly Clark,1,
false,72,(Blank),5750,0.063,David So,1,
false,72,(Blank),6000,0.033,Molly Clark,1,
false,72,(Blank),6000,0.033,Spencer Low,1,
false,72,(Blank),5000,0.033,Molly Clark,1,
false,72,(Blank),5000,0.063,Molly Clark,1,
false,72,(Blank),5000,0.063,Alicia Thomber,1,
false,72,(Blank),5000,0.062,Greg Winston,1,
false,72,(Blank),5125,0.033,Alicia Thomber,1,
false,72,(Blank),5125,0.063,Molly Clark,2,"2,54,56"
false,72,(Blank),5125,0.063,Alan Steiner,1,
false,72,(Blank),5125,0.065,Alan Steiner,1,
false,72,(Blank),5875,0.063,Molly Clark,1,
false,72,(Blank),5500,0.063,Molly Clark,2,"2,56,58"
false,72,(Blank),5500,0.063,Alicia Thomber,1,
false,72,(Blank),5500,0.065,Alan Steiner,2,"2,58,60"
false,72,Monthly Newsletter,3250,0.038,Molly Clark,2,"2,60,62"
false,72,Monthly Newsletter,4125,0.038,Alicia Thomber,1,
false,72,Monthly Newsletter,3875,0.038,Molly Clark,1,
false,72,Monthly Newsletter,4250,0.038,Julian Isla,1,
false,72,Monthly Newsletter,3750,0.038,Alicia Thomber,1,
false,73,(Blank),4500,0.063,Molly Clark,1,"1,2,3"
false,73,(Blank),4625,0.063,Molly Clark,1,"1,3,4"
false,73,(Blank),2500,0.063,Molly Clark,1,"1,4,5"
false,73,(Blank),6125,0.063,Molly Clark,2,"2,0,2"
false,73,(Blank),6000,0.063,Molly Clark,1,"1,5,6"
false,74,(Blank),3500,0.063,Alan Steiner,1,"1,25,26"
false,74,(Blank),3125,0.063,Spencer Low,1,"1,26,27"
false,74,(Blank),3375,0.063,David So,1,"1,27,28"
false,74,(Blank),3625,0.063,Julian Isla,1,"1,28,29"
false,74,(Blank),3625,0.062,Renee Lo,1,"1,29,30"
false,74,(Blank),4125,0.063,Julian Isla,1,"1,30,31"
false,74,(Blank),3875,0.063,David So,1,"1,31,32"
false,74,(Blank),3750,0.063,Eric Gruber,1,"1,32,33"
false,74,(Blank),3750,0.063,Alicia Thomber,1,"1,33,34"
false,74,(Blank),3750,0.062,Sanjay Shah,1,"1,34,35"
false,74,(Blank),3750,0.065,Renee Lo,1,"1,35,36"
false,74,(Blank),4000,0.063,Alicia Thomber,1,"1,36,37"
false,74,(Blank),4000,0.062,Anne Weiler,1,"1,37,38"
false,74,(Blank),4625,0.063,Alicia Thomber,1,"1,38,39"
false,74,(Blank),4625,0.062,Greg Winston,1,"1,39,40"
false,74,(Blank),4750,0.063,David So,1,"1,40,41"
false,74,(Blank),4750,0.063,Spencer Low,1,"1,41,42"
