Opportunities.Value,Opportunities.Campaign Name,Opportunities.Budget,Opportunities.Discount,Opportunities.Opportunity Owner Name,CountNonNull(Opportunities.Status),
$600,(Blank),$750,3.1%,Sanjay Shah,3,NaN
$600,(Blank),$750,3.2%,Anne Weiler,5,NaN
$600,(Blank),$750,3.2%,Sanjay Shah,4,NaN
$600,(Blank),$750,3.2%,Greg Winston,16,NaN
$600,(Blank),$750,3.2%,Renee Lo,1,NaN
$600,(Blank),$750,3.3%,Anne Weiler,1,NaN
$600,(Blank),$750,3.3%,Alan Steiner,5,NaN
$600,(Blank),$750,3.3%,Alicia Thomber,20,NaN
$600,(Blank),$750,3.3%,David So,21,NaN
$600,(Blank),$750,3.3%,Eric Gruber,13,NaN
$600,(Blank),$750,3.3%,Jeff Hay,5,NaN
$600,(Blank),$750,3.3%,Julian Isla,11,NaN
$600,(Blank),$750,3.3%,Molly Clark,19,NaN
$600,(Blank),$750,3.3%,Spencer Low,9,NaN
$600,(Blank),$750,3.5%,Anne Weiler,16,NaN
$600,(Blank),$750,3.5%,Renee Lo,1,NaN
$600,(Blank),$750,3.5%,Alan Steiner,11,NaN
$600,(Blank),$750,3.5%,Molly Clark,2,NaN
$600,(Blank),$750,0.2%,Anne Weiler,2,NaN
$600,(Blank),$750,0.2%,Sanjay Shah,1,NaN
$600,(Blank),$750,0.2%,Greg Winston,6,NaN
$600,(Blank),$750,0.2%,Renee Lo,1,NaN
$600,(Blank),$750,0.3%,Alan Steiner,4,NaN
$600,(Blank),$750,0.3%,Alicia Thomber,3,NaN
$600,(Blank),$750,0.3%,David So,2,NaN
$600,(Blank),$750,0.3%,Eric Gruber,1,NaN
$600,(Blank),$750,0.3%,Jeff Hay,1,NaN
$600,(Blank),$750,0.3%,Julian Isla,1,NaN
$600,(Blank),$750,0.3%,Molly Clark,5,NaN
$600,(Blank),$750,0.5%,Anne Weiler,3,NaN
$600,(Blank),$750,0.5%,Alan Steiner,1,NaN
$600,(Blank),$750,0.5%,Molly Clark,1,NaN
$600,(Blank),$750,3.7%,Greg Winston,2,NaN
$600,(Blank),$750,3.8%,Alicia Thomber,1,NaN
$600,(Blank),$750,3.8%,David So,3,NaN
$600,(Blank),$750,3.8%,Eric Gruber,3,NaN
$600,(Blank),$750,3.8%,Molly Clark,5,NaN
$600,(Blank),$750,4.0%,Anne Weiler,2,NaN
$600,Customer Care Campaign,$750,2.7%,Greg Winston,1,NaN
$600,Customer Care Campaign,$750,2.7%,Renee Lo,1,NaN
$600,Customer Care Campaign,$750,2.8%,Alan Steiner,1,NaN
$600,Customer Care Campaign,$750,3.0%,Alan Steiner,1,NaN
$700,(Blank),$875,3.1%,Anne Weiler,2,NaN
$700,(Blank),$875,3.1%,Sanjay Shah,3,NaN
$700,(Blank),$875,3.2%,Anne Weiler,7,NaN
$700,(Blank),$875,3.2%,Sanjay Shah,5,NaN
$700,(Blank),$875,3.2%,Greg Winston,27,NaN
$700,(Blank),$875,3.2%,Renee Lo,5,NaN
$700,(Blank),$875,3.3%,Alan Steiner,10,NaN
$700,(Blank),$875,3.3%,Alicia Thomber,28,NaN
$700,(Blank),$875,3.3%,David So,19,NaN
$700,(Blank),$875,3.3%,Eric Gruber,13,NaN
$700,(Blank),$875,3.3%,Jeff Hay,4,NaN
$700,(Blank),$875,3.3%,Julian Isla,11,NaN
$700,(Blank),$875,3.3%,Molly Clark,21,NaN
$700,(Blank),$875,3.3%,Spencer Low,8,NaN
$700,(Blank),$875,3.5%,Anne Weiler,8,NaN
$700,(Blank),$875,3.5%,Renee Lo,3,NaN
$700,(Blank),$875,3.5%,Alan Steiner,8,NaN
$700,(Blank),$875,0.2%,Greg Winston,5,NaN
$700,(Blank),$875,0.3%,Alan Steiner,2,NaN
$700,(Blank),$875,0.3%,Alicia Thomber,1,NaN
$700,(Blank),$875,0.3%,David So,5,NaN
$700,(Blank),$875,0.3%,Eric Gruber,3,NaN
$700,(Blank),$875,0.3%,Molly Clark,7,NaN
$700,(Blank),$875,0.3%,Spencer Low,1,NaN
$700,(Blank),$875,0.5%,Anne Weiler,4,NaN
$700,(Blank),$875,0.5%,Alan Steiner,1,NaN
$700,(Blank),$875,3.7%,Greg Winston,2,NaN
$700,(Blank),$875,3.8%,Alan Steiner,1,NaN
$700,(Blank),$875,3.8%,David So,1,NaN
$700,(Blank),$875,3.8%,Molly Clark,3,NaN
$700,(Blank),$875,3.8%,Spencer Low,1,NaN
$700,(Blank),$875,4.0%,Anne Weiler,1,NaN
$700,(Blank),$875,4.0%,Alan Steiner,1,NaN
$700,(Blank),$875,0.1%,Sanjay Shah,1,NaN
$700,Consumer Tradeshow,$875,5.3%,Molly Clark,2,NaN
$700,Customer Care Campaign,$875,2.7%,Greg Winston,1,NaN
$700,Customer Care Campaign,$875,2.8%,Alicia Thomber,1,NaN
$700,Customer Care Campaign,$875,2.8%,Spencer Low,1,NaN
$700,Customer Care Campaign,$875,3.0%,Anne Weiler,1,NaN
$800,(Blank),"$1,000",3.1%,Anne Weiler,2,NaN
$800,(Blank),"$1,000",3.1%,Sanjay Shah,1,NaN
$800,(Blank),"$1,000",3.2%,Anne Weiler,6,NaN
$800,(Blank),"$1,000",3.2%,Greg Winston,15,NaN
$800,(Blank),"$1,000",3.2%,Renee Lo,6,NaN
$800,(Blank),"$1,000",3.3%,Alan Steiner,13,NaN
$800,(Blank),"$1,000",3.3%,Alicia Thomber,19,NaN
$800,(Blank),"$1,000",3.3%,David So,28,NaN
$800,(Blank),"$1,000",3.3%,Eric Gruber,15,NaN
$800,(Blank),"$1,000",3.3%,Jeff Hay,10,NaN
$800,(Blank),"$1,000",3.3%,Julian Isla,8,NaN
$800,(Blank),"$1,000",3.3%,Molly Clark,23,NaN
$800,(Blank),"$1,000",3.3%,Spencer Low,9,NaN
$800,(Blank),"$1,000",3.5%,Anne Weiler,16,NaN
$800,(Blank),"$1,000",3.5%,Renee Lo,2,NaN
$800,(Blank),"$1,000",3.5%,Alan Steiner,11,NaN
$800,(Blank),"$1,000",3.5%,Molly Clark,1,NaN
$800,(Blank),"$1,000",0.2%,Greg Winston,5,NaN
$800,(Blank),"$1,000",0.2%,Renee Lo,1,NaN
$800,(Blank),"$1,000",0.3%,Alicia Thomber,3,NaN
$800,(Blank),"$1,000",0.3%,David So,3,NaN
$800,(Blank),"$1,000",0.3%,Eric Gruber,9,NaN
$800,(Blank),"$1,000",0.3%,Jeff Hay,2,NaN
$800,(Blank),"$1,000",0.3%,Molly Clark,5,NaN
$800,(Blank),"$1,000",0.3%,Spencer Low,1,NaN
$800,(Blank),"$1,000",0.5%,Anne Weiler,2,NaN
$800,(Blank),"$1,000",0.5%,Alan Steiner,2,NaN
$800,(Blank),"$1,000",0.5%,Molly Clark,1,NaN
$800,(Blank),"$1,000",3.7%,Greg Winston,1,NaN
$800,(Blank),"$1,000",3.8%,Anne Weiler,1,NaN
$800,(Blank),"$1,000",3.8%,Alicia Thomber,1,NaN
$800,(Blank),"$1,000",3.8%,David So,4,NaN
$800,(Blank),"$1,000",3.8%,Molly Clark,1,NaN
$800,(Blank),"$1,000",3.8%,Spencer Low,2,NaN
$800,(Blank),"$1,000",4.0%,Anne Weiler,2,NaN
$800,Consumer Tradeshow,"$1,000",5.3%,Alicia Thomber,1,NaN
$800,Consumer Tradeshow,"$1,000",5.3%,Molly Clark,2,NaN
$800,Consumer Tradeshow,"$1,000",5.2%,Sanjay Shah,1,NaN
$800,Customer Care Campaign,"$1,000",2.7%,Sanjay Shah,1,NaN
$800,Customer Care Campaign,"$1,000",2.8%,Jeff Hay,1,NaN
$800,Customer Care Campaign,"$1,000",3.0%,Anne Weiler,1,NaN
$900,(Blank),"$1,125",3.1%,Anne Weiler,1,NaN
$900,(Blank),"$1,125",3.1%,Sanjay Shah,2,NaN
$900,(Blank),"$1,125",3.2%,Anne Weiler,2,NaN
$900,(Blank),"$1,125",3.2%,Sanjay Shah,6,NaN
$900,(Blank),"$1,125",3.2%,Greg Winston,27,NaN
$900,(Blank),"$1,125",3.2%,Renee Lo,8,NaN
$900,(Blank),"$1,125",3.3%,Alan Steiner,6,NaN
$900,(Blank),"$1,125",3.3%,Alicia Thomber,22,NaN
$900,(Blank),"$1,125",3.3%,David So,20,NaN
$900,(Blank),"$1,125",3.3%,Eric Gruber,14,NaN
$900,(Blank),"$1,125",3.3%,Jeff Hay,6,NaN
$900,(Blank),"$1,125",3.3%,Julian Isla,12,NaN
$900,(Blank),"$1,125",3.3%,Molly Clark,22,NaN
$900,(Blank),"$1,125",3.3%,Spencer Low,7,NaN
$900,(Blank),"$1,125",3.5%,Anne Weiler,17,NaN
$900,(Blank),"$1,125",3.5%,Renee Lo,1,NaN
$900,(Blank),"$1,125",3.5%,Alan Steiner,10,NaN
$900,(Blank),"$1,125",3.5%,Molly Clark,3,NaN
$900,(Blank),"$1,125",0.2%,Greg Winston,3,NaN
$900,(Blank),"$1,125",0.3%,Alan Steiner,1,NaN
$900,(Blank),"$1,125",0.3%,Alicia Thomber,2,NaN
$900,(Blank),"$1,125",0.3%,David So,3,NaN
$900,(Blank),"$1,125",0.3%,Jeff Hay,1,NaN
$900,(Blank),"$1,125",0.3%,Julian Isla,1,NaN
$900,(Blank),"$1,125",0.3%,Molly Clark,5,NaN
$900,(Blank),"$1,125",0.3%,Spencer Low,2,NaN
$900,(Blank),"$1,125",0.5%,Anne Weiler,4,NaN
$900,(Blank),"$1,125",0.5%,Renee Lo,1,NaN
$900,(Blank),"$1,125",0.5%,Alan Steiner,3,NaN
$900,(Blank),"$1,125",3.7%,Greg Winston,3,NaN
$900,(Blank),"$1,125",3.8%,David So,2,NaN
$900,(Blank),"$1,125",3.8%,Eric Gruber,1,NaN
$900,(Blank),"$1,125",3.8%,Jeff Hay,2,NaN
$900,(Blank),"$1,125",3.8%,Molly Clark,3,NaN
$900,(Blank),"$1,125",3.8%,Spencer Low,1,NaN
$900,(Blank),"$1,125",4.0%,Anne Weiler,1,NaN
$900,(Blank),"$1,125",4.0%,Alan Steiner,1,NaN
$900,(Blank),"$1,125",0.1%,Anne Weiler,1,NaN
$900,(Blank),"$1,125",0.1%,Sanjay Shah,1,NaN
$900,(Blank),"$1,125",3.6%,Sanjay Shah,1,NaN
$900,Consumer Tradeshow,"$1,125",5.3%,David So,1,NaN
$900,Consumer Tradeshow,"$1,125",5.3%,Molly Clark,2,NaN
$900,Customer Care Campaign,"$1,125",2.8%,David So,1,NaN
$900,Customer Care Campaign,"$1,125",2.8%,Eric Gruber,1,NaN
$900,Customer Care Campaign,"$1,125",3.0%,Anne Weiler,2,NaN
"$1,000",(Blank),"$1,250",3.1%,Anne Weiler,1,NaN
"$1,000",(Blank),"$1,250",3.2%,Greg Winston,1,NaN
"$1,000",(Blank),"$1,250",3.3%,Molly Clark,1,NaN
"$1,000",(Blank),"$1,250",3.5%,Alan Steiner,1,NaN
"$1,000",(Blank),"$1,250",0.2%,Greg Winston,4,NaN
"$1,000",(Blank),"$1,250",0.2%,Renee Lo,1,NaN
"$1,000",(Blank),"$1,250",0.3%,Alan Steiner,3,NaN
"$1,000",(Blank),"$1,250",0.3%,Alicia Thomber,3,NaN
"$1,000",(Blank),"$1,250",0.3%,David So,8,NaN
"$1,000",(Blank),"$1,250",0.3%,Eric Gruber,4,NaN
"$1,000",(Blank),"$1,250",0.3%,Jeff Hay,1,NaN
"$1,000",(Blank),"$1,250",0.3%,Julian Isla,2,NaN
"$1,000",(Blank),"$1,250",0.3%,Molly Clark,4,NaN
"$1,000",(Blank),"$1,250",0.3%,Spencer Low,2,NaN
"$1,000",(Blank),"$1,250",0.5%,Anne Weiler,1,NaN
"$1,000",(Blank),"$1,250",0.5%,Renee Lo,1,NaN
"$1,000",(Blank),"$1,250",0.5%,Alan Steiner,3,NaN
"$1,000",(Blank),"$1,250",0.5%,Molly Clark,1,NaN
"$1,000",(Blank),"$1,250",3.7%,Anne Weiler,2,NaN
"$1,000",(Blank),"$1,250",3.7%,Greg Winston,5,NaN
"$1,000",(Blank),"$1,250",3.7%,Renee Lo,1,NaN
"$1,000",(Blank),"$1,250",3.8%,Alan Steiner,2,NaN
"$1,000",(Blank),"$1,250",3.8%,Alicia Thomber,1,NaN
"$1,000",(Blank),"$1,250",3.8%,David So,5,NaN
"$1,000",(Blank),"$1,250",3.8%,Eric Gruber,3,NaN
"$1,000",(Blank),"$1,250",3.8%,Jeff Hay,2,NaN
"$1,000",(Blank),"$1,250",3.8%,Molly Clark,7,NaN
"$1,000",(Blank),"$1,250",3.8%,Spencer Low,4,NaN
"$1,000",(Blank),"$1,250",4.0%,Anne Weiler,3,NaN
"$1,000",(Blank),"$1,250",4.0%,Renee Lo,1,NaN
"$1,000",(Blank),"$1,250",4.0%,Alan Steiner,1,NaN
"$1,000",(Blank),"$1,250",0.1%,Sanjay Shah,2,NaN
"$1,000",(Blank),"$1,250",2.1%,Anne Weiler,1,NaN
"$1,000",(Blank),"$1,250",2.1%,Sanjay Shah,3,NaN
"$1,000",(Blank),"$1,250",2.2%,Anne Weiler,7,NaN
"$1,000",(Blank),"$1,250",2.2%,Sanjay Shah,4,NaN
"$1,000",(Blank),"$1,250",2.2%,Greg Winston,31,NaN
"$1,000",(Blank),"$1,250",2.2%,Renee Lo,6,NaN
"$1,000",(Blank),"$1,250",2.3%,Anne Weiler,1,NaN
"$1,000",(Blank),"$1,250",2.3%,Alan Steiner,5,NaN
"$1,000",(Blank),"$1,250",2.3%,Alicia Thomber,30,NaN
"$1,000",(Blank),"$1,250",2.3%,David So,40,NaN
"$1,000",(Blank),"$1,250",2.3%,Eric Gruber,22,NaN
"$1,000",(Blank),"$1,250",2.3%,Jeff Hay,5,NaN
"$1,000",(Blank),"$1,250",2.3%,Julian Isla,13,NaN
"$1,000",(Blank),"$1,250",2.3%,Molly Clark,40,NaN
"$1,000",(Blank),"$1,250",2.3%,Spencer Low,8,NaN
"$1,000",(Blank),"$1,250",2.5%,Anne Weiler,17,NaN
"$1,000",(Blank),"$1,250",2.5%,Renee Lo,3,NaN
"$1,000",(Blank),"$1,250",2.5%,Alan Steiner,12,NaN
"$1,000",(Blank),"$1,250",6.1%,Sanjay Shah,1,NaN
"$1,000",(Blank),"$1,250",6.2%,Anne Weiler,2,NaN
"$1,000",(Blank),"$1,250",6.2%,Sanjay Shah,3,NaN
"$1,000",(Blank),"$1,250",6.2%,Greg Winston,1,NaN
"$1,000",(Blank),"$1,250",6.3%,Alan Steiner,1,NaN
"$1,000",(Blank),"$1,250",6.3%,Alicia Thomber,3,NaN
"$1,000",(Blank),"$1,250",6.3%,David So,7,NaN
"$1,000",(Blank),"$1,250",6.3%,Molly Clark,8,NaN
"$1,000",(Blank),"$1,250",6.3%,Spencer Low,1,NaN
"$1,000",(Blank),"$1,250",6.5%,Anne Weiler,1,NaN
"$1,000",(Blank),"$1,250",6.5%,Renee Lo,2,NaN
"$1,000",(Blank),"$1,250",6.5%,Alan Steiner,1,NaN
"$1,000",Consumer Tradeshow,"$1,250",3.8%,Molly Clark,1,NaN
"$1,000",Consumer Tradeshow,"$1,250",5.5%,Alan Steiner,1,NaN
"$1,000",Consumer Tradeshow,"$1,250",5.3%,David So,2,NaN
"$1,000",Consumer Tradeshow,"$1,250",5.3%,Eric Gruber,1,NaN
"$1,000",Consumer Tradeshow,"$1,250",5.3%,Molly Clark,1,NaN
"$1,000",Consumer Tradeshow,"$1,250",5.2%,Greg Winston,2,NaN
"$1,000",Consumer Tradeshow,"$1,250",7.7%,Anne Weiler,1,NaN
"$1,000",Consumer Tradeshow,"$1,250",7.7%,Greg Winston,1,NaN
"$1,000",Consumer Tradeshow,"$1,250",8.0%,Alan Steiner,1,NaN
"$1,000",Consumer Tradeshow,"$1,250",8.0%,Molly Clark,1,NaN
"$1,000",Customer Care Campaign,"$1,250",6.3%,Molly Clark,1,NaN
"$1,000",Customer Care Campaign,"$1,250",4.8%,Alicia Thomber,1,NaN
"$1,000",Customer Care Campaign,"$1,250",4.8%,David So,1,NaN
"$1,000",Customer Care Campaign,"$1,250",4.8%,Molly Clark,2,NaN
"$1,000",Customer Care Campaign,"$1,250",4.7%,Greg Winston,2,NaN
"$1,000",Customer Care Campaign,"$1,250",3.0%,Alan Steiner,1,NaN
"$1,000",Customer Care Campaign,"$1,250",8.7%,Greg Winston,1,NaN
"$1,000",Customer Care Campaign,"$1,250",8.8%,David So,1,NaN
"$1,100",(Blank),"$1,375",0.2%,Greg Winston,3,NaN
"$1,100",(Blank),"$1,375",0.2%,Renee Lo,1,NaN
"$1,100",(Blank),"$1,375",0.3%,Anne Weiler,1,NaN
"$1,100",(Blank),"$1,375",0.3%,Alan Steiner,1,NaN
"$1,100",(Blank),"$1,375",0.3%,Alicia Thomber,3,NaN
"$1,100",(Blank),"$1,375",0.3%,David So,7,NaN
"$1,100",(Blank),"$1,375",0.3%,Eric Gruber,4,NaN
"$1,100",(Blank),"$1,375",0.3%,Jeff Hay,1,NaN
"$1,100",(Blank),"$1,375",0.3%,Julian Isla,3,NaN
"$1,100",(Blank),"$1,375",0.3%,Molly Clark,5,NaN
"$1,100",(Blank),"$1,375",0.5%,Anne Weiler,1,NaN
"$1,100",(Blank),"$1,375",0.5%,Alan Steiner,3,NaN
"$1,100",(Blank),"$1,375",3.7%,Anne Weiler,2,NaN
"$1,100",(Blank),"$1,375",3.7%,Sanjay Shah,3,NaN
"$1,100",(Blank),"$1,375",3.7%,Greg Winston,7,NaN
"$1,100",(Blank),"$1,375",3.8%,Alan Steiner,2,NaN
"$1,100",(Blank),"$1,375",3.8%,Alicia Thomber,5,NaN
"$1,100",(Blank),"$1,375",3.8%,David So,8,NaN
"$1,100",(Blank),"$1,375",3.8%,Eric Gruber,3,NaN
"$1,100",(Blank),"$1,375",3.8%,Jeff Hay,2,NaN
"$1,100",(Blank),"$1,375",3.8%,Julian Isla,3,NaN
"$1,100",(Blank),"$1,375",3.8%,Molly Clark,9,NaN
"$1,100",(Blank),"$1,375",3.8%,Spencer Low,1,NaN
"$1,100",(Blank),"$1,375",4.0%,Anne Weiler,3,NaN
"$1,100",(Blank),"$1,375",4.0%,Alan Steiner,1,NaN
"$1,100",(Blank),"$1,375",4.0%,Molly Clark,1,NaN
"$1,100",(Blank),"$1,375",0.1%,Sanjay Shah,1,NaN
"$1,100",(Blank),"$1,375",3.6%,Anne Weiler,1,NaN
"$1,100",(Blank),"$1,375",3.6%,Sanjay Shah,1,NaN
"$1,100",(Blank),"$1,375",2.1%,Anne Weiler,6,NaN
"$1,100",(Blank),"$1,375",2.1%,Sanjay Shah,3,NaN
"$1,100",(Blank),"$1,375",2.2%,Anne Weiler,4,NaN
"$1,100",(Blank),"$1,375",2.2%,Sanjay Shah,5,NaN
"$1,100",(Blank),"$1,375",2.2%,Greg Winston,26,NaN
"$1,100",(Blank),"$1,375",2.2%,Renee Lo,3,NaN
"$1,100",(Blank),"$1,375",2.3%,Alan Steiner,11,NaN
"$1,100",(Blank),"$1,375",2.3%,Alicia Thomber,18,NaN
"$1,100",(Blank),"$1,375",2.3%,David So,32,NaN
"$1,100",(Blank),"$1,375",2.3%,Eric Gruber,27,NaN
"$1,100",(Blank),"$1,375",2.3%,Jeff Hay,9,NaN
"$1,100",(Blank),"$1,375",2.3%,Julian Isla,12,NaN
"$1,100",(Blank),"$1,375",2.3%,Molly Clark,33,NaN
"$1,100",(Blank),"$1,375",2.3%,Spencer Low,13,NaN
"$1,100",(Blank),"$1,375",2.5%,Anne Weiler,22,NaN
"$1,100",(Blank),"$1,375",2.5%,Renee Lo,2,NaN
"$1,100",(Blank),"$1,375",2.5%,Alan Steiner,10,NaN
"$1,100",(Blank),"$1,375",2.5%,Molly Clark,3,NaN
"$1,100",(Blank),"$1,375",6.1%,Anne Weiler,1,NaN
"$1,100",(Blank),"$1,375",6.2%,Greg Winston,4,NaN
"$1,100",(Blank),"$1,375",6.2%,Renee Lo,1,NaN
"$1,100",(Blank),"$1,375",6.3%,Anne Weiler,1,NaN
"$1,100",(Blank),"$1,375",6.3%,Alan Steiner,1,NaN
"$1,100",(Blank),"$1,375",6.3%,Alicia Thomber,5,NaN
"$1,100",(Blank),"$1,375",6.3%,David So,5,NaN
"$1,100",(Blank),"$1,375",6.3%,Jeff Hay,3,NaN
"$1,100",(Blank),"$1,375",6.3%,Julian Isla,2,NaN
"$1,100",(Blank),"$1,375",6.3%,Molly Clark,1,NaN
"$1,100",(Blank),"$1,375",6.3%,Spencer Low,1,NaN
"$1,100",(Blank),"$1,375",6.5%,Anne Weiler,3,NaN
"$1,100",(Blank),"$1,375",6.5%,Alan Steiner,1,NaN
"$1,100",Consumer Tradeshow,"$1,375",3.8%,Alan Steiner,1,NaN
"$1,100",Consumer Tradeshow,"$1,375",3.8%,Eric Gruber,1,NaN
"$1,100",Consumer Tradeshow,"$1,375",5.3%,Alicia Thomber,2,NaN
